QuestionText,Values Text,Total,"Age - 18-34
(Millennial)","Age - 35+
(Non-Millennial)",NOY - 0-5,NOY - 6-20,NOY - 21+,Res - Yes,Res - No,Central - Yes,Central - No
"Q44. Please rank the following that you would like prioritized for the future development of Austin: Transportation (e.g., Speed and efficiency)",2nd Priority,0.27,0.29,0.27,0.24,0.28,0.28,0.31,0.24,0.31,0.26
"Q44. Please rank the following that you would like prioritized for the future development of Austin: Transportation (e.g., Speed and efficiency)",3rd Priority,0.16,0.23,0.13,0.22,0.15,0.15,0.15,0.17,0.19,0.16
"Q44. Please rank the following that you would like prioritized for the future development of Austin: People (e.g., Quality of life)",1st Priority,0.33,0.38,0.31,0.38,0.31,0.32,0.35,0.32,0.41,0.31
"Q44. Please rank the following that you would like prioritized for the future development of Austin: People (e.g., Quality of life)",2nd Priority,0.37,0.33,0.39,0.34,0.34,0.4,0.39,0.35,0.41,0.36
"Q44. Please rank the following that you would like prioritized for the future development of Austin: People (e.g., Quality of life)",3rd Priority,0.3,0.29,0.31,0.29,0.34,0.28,0.26,0.34,0.18,0.33
"Q44. Please rank the following that you would like prioritized for the future development of Austin: Commerce (e.g., Jobs, businesses and institutions)",1st Priority,0.11,0.14,0.09,0.09,0.12,0.11,0.11,0.1,0.1,0.11
"Q44. Please rank the following that you would like prioritized for the future development of Austin: Commerce (e.g., Jobs, businesses and institutions)",2nd Priority,0.36,0.38,0.35,0.42,0.37,0.32,0.3,0.41,0.28,0.38
"Q44. Please rank the following that you would like prioritized for the future development of Austin: Commerce (e.g., Jobs, businesses and institutions)",3rd Priority,0.54,0.48,0.57,0.49,0.51,0.57,0.59,0.49,0.62,0.51
Q45. Which feature of other major cities would most benefit Austin?,Major sports team,0.18,0.18,0.18,0.19,0.17,0.18,0.13,0.22,0.12,0.2
Q45. Which feature of other major cities would most benefit Austin?,Major art and cultural institutions and museums,0.26,0.31,0.24,0.32,0.28,0.23,0.31,0.22,0.32,0.25
Q45. Which feature of other major cities would most benefit Austin?,Both,0.33,0.34,0.32,0.3,0.33,0.34,0.34,0.31,0.35,0.32
Q45. Which feature of other major cities would most benefit Austin?,Neither,0.23,0.18,0.26,0.19,0.22,0.25,0.21,0.24,0.21,0.24
Q46. Whose town is this anyway?  (A haven for Millennials (born 1980 or after)/ young person's town)(A Gen X/Baby Boomer town (born before 1980)),A haven for Millennials (born 1980 or after)/ young person's town,0.74,0.88,0.67,0.82,0.73,0.72,0.74,0.74,0.78,0.73
Q46. Whose town is this anyway?  (A haven for Millennials (born 1980 or after)/ young person's town)(A Gen X/Baby Boomer town (born before 1980)),A Gen X/Baby Boomer town (born before 1980),0.26,0.12,0.33,0.18,0.27,0.28,0.26,0.26,0.22,0.27
Q46. Whose town is this anyway?  (University of Texas' town)(Texas State Government's town),University of Texas' town,0.75,0.8,0.73,0.8,0.76,0.73,0.78,0.72,0.84,0.73
Q46. Whose town is this anyway?  (University of Texas' town)(Texas State Government's town),Texas State Government's town,0.25,0.2,0.27,0.2,0.24,0.27,0.22,0.28,0.16,0.27
Q46. Whose town is this anyway?  (A town for families)(A town for singles),A town for families,0.31,0.27,0.33,0.33,0.23,0.36,0.33,0.3,0.29,0.32
Q46. Whose town is this anyway?  (A town for families)(A town for singles),A town for singles,0.69,0.73,0.67,0.67,0.77,0.64,0.67,0.7,0.71,0.68
Q47. Do you think Austin has enough green and/or open spaces?,Definitely,0.21,0.25,0.18,0.24,0.25,0.16,0.21,0.2,0.21,0.2
Q47. Do you think Austin has enough green and/or open spaces?,Somewhat,0.51,0.55,0.48,0.55,0.5,0.49,0.52,0.49,0.55,0.49
Q47. Do you think Austin has enough green and/or open spaces?,Not really,0.24,0.18,0.28,0.15,0.21,0.31,0.21,0.27,0.2,0.26
Q47. Do you think Austin has enough green and/or open spaces?,Not at all,0.05,0.01,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.05
Q48. How concerned are you that rapid development and new construction projects threaten Austin's green and/or open spaces?,Very concerned,0.35,0.31,0.37,0.28,0.3,0.41,0.37,0.33,0.4,0.34
Q48. How concerned are you that rapid development and new construction projects threaten Austin's green and/or open spaces?,Somewhat concerned,0.43,0.45,0.41,0.45,0.45,0.4,0.43,0.42,0.42,0.43
Q48. How concerned are you that rapid development and new construction projects threaten Austin's green and/or open spaces?,Not very concerned,0.15,0.15,0.15,0.16,0.17,0.13,0.13,0.17,0.1,0.16
Q48. How concerned are you that rapid development and new construction projects threaten Austin's green and/or open spaces?,Not concerned at all,0.05,0.06,0.05,0.06,0.07,0.04,0.06,0.05,0.07,0.05
Q48. How concerned are you that rapid development and new construction projects threaten Austin's green and/or open spaces?,Unsure,0.02,0.04,0.01,0.05,0.01,0.01,0.02,0.02,0.01,0.02
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Zilker Park,0.57,0.63,0.54,0.53,0.58,0.58,0.61,0.53,0.63,0.55
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Lake Travis and the surrounding area,0.34,0.31,0.36,0.31,0.36,0.35,0.3,0.39,0.22,0.38
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Your neighborhood park,0.27,0.24,0.28,0.24,0.29,0.27,0.3,0.24,0.23,0.28
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Barton Creek Greenbelt,0.24,0.35,0.19,0.26,0.21,0.26,0.3,0.19,0.35,0.21
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Ann and Roy Butler Hike-and-Bike Trail at Lady Bird Lake (aka Town Lake Trail),0.22,0.21,0.23,0.17,0.24,0.24,0.28,0.17,0.36,0.18
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),The Boardwalk Trail at Lady Bird Lake,0.17,0.18,0.17,0.17,0.24,0.14,0.19,0.16,0.25,0.15
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Shoal Creek,0.07,0.06,0.07,0.07,0.03,0.09,0.09,0.04,0.11,0.05
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Colorado River Wildlife Sanctuary,0.05,0.07,0.05,0.07,0.04,0.06,0.05,0.06,0.05,0.06
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Waller Creek Greenbelt,0.03,0.07,0.02,0.05,0.03,0.03,0.04,0.03,0.05,0.03
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Butler Park,0.02,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.04,0.01
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),Other,0.03,0.03,0.03,0.02,0.03,0.04,0.05,0.02,0.05,0.03
Q49. Which green and/or open spaces in and around Austin do you personally enjoy the most? (Select up to three),None,0.1,0.06,0.12,0.1,0.1,0.1,0.06,0.14,0.05,0.12
"Q50. Do you believe that pets in Austin are in public spaces, such as restaurant patios, too much?",Definitely,0.23,0.13,0.28,0.19,0.25,0.23,0.17,0.29,0.19,0.24
"Q50. Do you believe that pets in Austin are in public spaces, such as restaurant patios, too much?",Somewhat,0.24,0.22,0.26,0.21,0.24,0.26,0.24,0.25,0.28,0.23
"Q50. Do you believe that pets in Austin are in public spaces, such as restaurant patios, too much?",Not really,0.32,0.38,0.29,0.36,0.33,0.3,0.33,0.31,0.29,0.33
"Q50. Do you believe that pets in Austin are in public spaces, such as restaurant patios, too much?",Not at all,0.2,0.28,0.16,0.23,0.19,0.2,0.26,0.15,0.23,0.19
"Q51. In your life, with which group do you feel the strongest sense of community?",People from your neighborhood,0.19,0.14,0.21,0.11,0.21,0.2,0.14,0.23,0.15,0.2
"Q51. In your life, with which group do you feel the strongest sense of community?",People from work,0.18,0.19,0.17,0.15,0.16,0.2,0.18,0.18,0.14,0.19
"Q51. In your life, with which group do you feel the strongest sense of community?",People you know through hobbies,0.13,0.19,0.1,0.22,0.14,0.09,0.14,0.13,0.18,0.12
"Q51. In your life, with which group do you feel the strongest sense of community?",People from your religious community,0.12,0.1,0.14,0.1,0.12,0.13,0.11,0.13,0.04,0.15
"Q51. In your life, with which group do you feel the strongest sense of community?",People from your city generally,0.11,0.08,0.12,0.11,0.12,0.1,0.13,0.08,0.15,0.09
"Q51. In your life, with which group do you feel the strongest sense of community?",People you know through school,0.1,0.16,0.07,0.14,0.07,0.1,0.11,0.1,0.16,0.08
"Q51. In your life, with which group do you feel the strongest sense of community?",People you know through non-work organizations,0.07,0.02,0.09,0.05,0.08,0.06,0.07,0.06,0.06,0.07
"Q51. In your life, with which group do you feel the strongest sense of community?",People from your ethnic background,0.06,0.08,0.05,0.07,0.07,0.06,0.08,0.04,0.09,0.06
"Q51. In your life, with which group do you feel the strongest sense of community?",Online communities,0.05,0.03,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.05
"Q52. In your opinion, how often do you take advantage of Austin's cultural offerings?",Frequently,0.14,0.19,0.12,0.12,0.14,0.15,0.19,0.1,0.23,0.12
"Q52. In your opinion, how often do you take advantage of Austin's cultural offerings?",Sometimes,0.48,0.46,0.5,0.48,0.48,0.49,0.52,0.45,0.5,0.48
"Q52. In your opinion, how often do you take advantage of Austin's cultural offerings?",Rarely,0.31,0.27,0.34,0.33,0.34,0.29,0.26,0.36,0.23,0.34
"Q52. In your opinion, how often do you take advantage of Austin's cultural offerings?",Never,0.06,0.08,0.05,0.07,0.04,0.07,0.03,0.09,0.05,0.06
Q53. How often do you attend religious services?,Weekly or more often,0.21,0.17,0.24,0.19,0.23,0.21,0.16,0.27,0.13,0.24
Q53. How often do you attend religious services?,1-2 times per month,0.1,0.1,0.09,0.06,0.08,0.12,0.11,0.09,0.09,0.1
Q53. How often do you attend religious services?,Every 1-2 months,0.06,0.07,0.05,0.06,0.05,0.06,0.08,0.04,0.05,0.06
Q53. How often do you attend religious services?,A few times per year,0.14,0.11,0.16,0.15,0.13,0.14,0.11,0.17,0.14,0.14
Q53. How often do you attend religious services?,Once a year or less,0.17,0.12,0.2,0.12,0.19,0.19,0.17,0.18,0.18,0.17
Q53. How often do you attend religious services?,Don't know,0.03,0.04,0.02,0.02,0.03,0.03,0.02,0.04,0.02,0.03
Q53. How often do you attend religious services?,I am not religious,0.29,0.39,0.23,0.39,0.3,0.24,0.36,0.22,0.4,0.25
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Young adults without children,0.88,0.93,0.86,0.92,0.91,0.85,0.89,0.88,0.91,0.87
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)","LGBT (lesbian, gay, bisexual, and transgender)",0.82,0.86,0.8,0.83,0.83,0.82,0.86,0.78,0.92,0.79
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Asian Americans,0.76,0.78,0.75,0.8,0.78,0.73,0.78,0.74,0.76,0.76
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Young college graduates looking for work,0.75,0.77,0.75,0.81,0.77,0.72,0.74,0.77,0.73,0.76
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Hispanics,0.72,0.78,0.68,0.78,0.71,0.69,0.76,0.68,0.72,0.71
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Families with young children,0.7,0.74,0.69,0.7,0.74,0.68,0.74,0.67,0.73,0.69
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",The middle class,0.66,0.77,0.6,0.66,0.7,0.62,0.67,0.65,0.69,0.65
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",People over the age of 50,0.59,0.58,0.59,0.58,0.6,0.59,0.6,0.58,0.62,0.58
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Single parents,0.58,0.6,0.57,0.56,0.6,0.58,0.62,0.54,0.57,0.58
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",African Americans,0.58,0.64,0.55,0.62,0.56,0.58,0.56,0.61,0.5,0.61
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",Immigrants,0.53,0.57,0.51,0.62,0.47,0.53,0.53,0.53,0.54,0.53
"Q54. Please rate, on a scale from zero to ten, how well-suited Austin is as a place to live for the following groups. (Reporting 6-10 Well-suited)",The poor,0.25,0.27,0.24,0.28,0.24,0.24,0.25,0.25,0.25,0.25
Q55. Do you follow any specific diet? (Select all that apply),"No, I don't have a specific diet",0.79,0.78,0.8,0.76,0.79,0.81,0.75,0.83,0.73,0.81
Q55. Do you follow any specific diet? (Select all that apply),Gluten,0.06,0.09,0.05,0.06,0.05,0.07,0.07,0.05,0.08,0.05
Q55. Do you follow any specific diet? (Select all that apply),Vegetarian,0.05,0.07,0.05,0.1,0.05,0.04,0.08,0.03,0.12,0.04
Q55. Do you follow any specific diet? (Select all that apply),Lactose Intolerant,0.05,0.05,0.05,0.04,0.06,0.06,0.07,0.03,0.06,0.05
Q55. Do you follow any specific diet? (Select all that apply),Paleo,0.04,0.05,0.03,0.04,0.04,0.04,0.04,0.04,0.07,0.03
Q55. Do you follow any specific diet? (Select all that apply),Vegan,0.02,0.03,0.01,0.02,0.01,0.02,0.03,0.01,0.03,0.01
Q55. Do you follow any specific diet? (Select all that apply),Other special diet,0.05,0.04,0.06,0.03,0.06,0.06,0.08,0.03,0.08,0.05
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",SXSW (South by Southwest),0.86,0.86,0.86,0.92,0.87,0.83,0.87,0.86,0.89,0.85
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Austin City Limits Music Festival,0.86,0.88,0.84,0.9,0.86,0.83,0.87,0.84,0.89,0.85
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",UT Football Games,0.8,0.83,0.79,0.84,0.81,0.79,0.79,0.82,0.76,0.82
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",ACL Live at The Moody Theater,0.72,0.74,0.71,0.79,0.75,0.67,0.75,0.69,0.77,0.7
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Pecan Street Festival,0.63,0.67,0.61,0.59,0.6,0.66,0.65,0.61,0.64,0.63
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Zilker Kite Festival,0.6,0.73,0.53,0.68,0.57,0.59,0.61,0.59,0.63,0.59
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Formula One United States Grand Prix (at Circuit of the Americas),0.57,0.62,0.55,0.6,0.61,0.54,0.54,0.61,0.49,0.6
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Austin Food & Wine Festival,0.55,0.67,0.49,0.69,0.54,0.5,0.54,0.56,0.53,0.55
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Blues on the Green,0.52,0.65,0.45,0.55,0.49,0.52,0.56,0.48,0.63,0.49
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",FUN FUN FUN FEST,0.48,0.6,0.42,0.61,0.45,0.45,0.51,0.45,0.58,0.45
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",The Texas Relays,0.48,0.48,0.47,0.47,0.44,0.5,0.43,0.52,0.38,0.5
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Republic of Texas Biker Rally,0.45,0.53,0.41,0.48,0.43,0.45,0.42,0.48,0.4,0.46
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",X Games,0.44,0.53,0.4,0.48,0.44,0.43,0.39,0.49,0.38,0.46
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Ballet Austin,0.44,0.54,0.39,0.39,0.39,0.49,0.49,0.39,0.46,0.44
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Marley Fest/Austin Reggae Festival,0.44,0.6,0.35,0.53,0.42,0.42,0.45,0.42,0.45,0.43
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Eeyore's Birthday Party,0.4,0.49,0.35,0.41,0.33,0.43,0.46,0.33,0.52,0.36
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Austin Startup Week,0.39,0.6,0.28,0.61,0.37,0.32,0.43,0.36,0.44,0.38
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Austin Lyric Opera,0.37,0.45,0.33,0.4,0.32,0.39,0.37,0.37,0.31,0.39
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",African American Community Heritage Festival (AACHF),0.35,0.48,0.29,0.47,0.32,0.33,0.38,0.33,0.39,0.34
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Brazilian Carnival,0.25,0.38,0.18,0.4,0.23,0.21,0.26,0.24,0.27,0.25
"Q56. How important do you think these organizations, events, and/or festivals are to Austin's identity? (Reporting Extremely/Very Important, and excluding Don't know)",Fusebox Festival,0.25,0.38,0.18,0.34,0.21,0.24,0.22,0.28,0.21,0.26
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Austin City Limits Music Festival,0.42,0.52,0.37,0.42,0.43,0.41,0.49,0.36,0.59,0.37
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",SXSW (South by Southwest),0.4,0.52,0.33,0.46,0.39,0.37,0.44,0.36,0.52,0.36
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",UT Football Games,0.38,0.42,0.36,0.33,0.37,0.41,0.39,0.38,0.43,0.37
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Pecan Street Festival,0.34,0.36,0.33,0.25,0.3,0.4,0.35,0.33,0.36,0.33
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",ACL Live at The Moody Theater,0.32,0.35,0.31,0.34,0.35,0.3,0.38,0.27,0.43,0.29
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Zilker Kite Festival,0.28,0.37,0.24,0.28,0.27,0.28,0.32,0.24,0.31,0.27
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Blues on the Green,0.26,0.38,0.2,0.27,0.26,0.26,0.32,0.21,0.38,0.23
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Austin Food & Wine Festival,0.25,0.34,0.2,0.31,0.23,0.24,0.26,0.23,0.23,0.25
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",FUN FUN FUN FEST,0.23,0.32,0.18,0.32,0.2,0.21,0.26,0.2,0.3,0.21
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Formula One United States Grand Prix (at Circuit of the Americas),0.22,0.27,0.2,0.25,0.2,0.23,0.22,0.23,0.23,0.22
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Eeyore's Birthday Party,0.19,0.22,0.17,0.19,0.13,0.22,0.24,0.13,0.25,0.17
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Ballet Austin,0.18,0.22,0.16,0.17,0.18,0.19,0.21,0.15,0.2,0.17
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Marley Fest/Austin Reggae Festival,0.18,0.27,0.13,0.2,0.16,0.18,0.2,0.16,0.2,0.17
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",The Texas Relays,0.16,0.22,0.14,0.16,0.14,0.18,0.16,0.17,0.15,0.17
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",X Games,0.15,0.24,0.11,0.18,0.15,0.14,0.15,0.15,0.11,0.16
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Republic of Texas Biker Rally,0.14,0.17,0.13,0.12,0.13,0.16,0.13,0.16,0.11,0.15
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",African American Community Heritage Festival (AACHF),0.14,0.22,0.09,0.15,0.14,0.13,0.15,0.12,0.15,0.13
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Austin Startup Week,0.14,0.24,0.08,0.17,0.13,0.12,0.13,0.14,0.16,0.13
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Austin Lyric Opera,0.14,0.17,0.12,0.12,0.13,0.14,0.15,0.12,0.14,0.13
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Brazilian Carnival,0.11,0.17,0.08,0.09,0.11,0.11,0.12,0.09,0.12,0.1
"Q57. How important are these organizations, events, and/or festivals are to you personally? (Reporting Extremely/Very Important, and excluding Don't know)",Fusebox Festival,0.07,0.13,0.05,0.09,0.08,0.06,0.07,0.08,0.08,0.07
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Summer Olympic Games,0.31,0.36,0.28,0.33,0.29,0.32,0.3,0.33,0.26,0.33
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Super Bowl,0.3,0.34,0.27,0.29,0.27,0.32,0.26,0.33,0.2,0.33
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Presidential Debate,0.22,0.21,0.23,0.23,0.24,0.21,0.27,0.18,0.31,0.19
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Democratic or Republican National Convention,0.19,0.16,0.2,0.13,0.24,0.18,0.22,0.16,0.26,0.17
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Soccer World Cup,0.17,0.22,0.15,0.2,0.2,0.14,0.23,0.12,0.24,0.15
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Major Professional Golf Association (PGA) tournament,0.14,0.08,0.17,0.09,0.17,0.14,0.1,0.17,0.11,0.14
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Miss America/Miss Universe,0.08,0.11,0.06,0.12,0.06,0.08,0.07,0.09,0.07,0.08
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),Other,0.02,0.01,0.02,0.04,0.02,0.01,0.02,0.02,0.01,0.02
Q58. Which two of the following events would you most support Austin hosting? (Select up to two.),None of the above,0.19,0.16,0.21,0.17,0.18,0.2,0.18,0.2,0.16,0.2
Q59. Why would you not want Austin to host those major events? (Select up to three.),Traffic congestion,0.71,0.59,0.76,0.61,0.74,0.74,0.63,0.78,0.6,0.74
Q59. Why would you not want Austin to host those major events? (Select up to three.),Too expensive,0.35,0.35,0.35,0.44,0.34,0.31,0.35,0.34,0.32,0.35
Q59. Why would you not want Austin to host those major events? (Select up to three.),Lacking infrastructure,0.31,0.15,0.37,0.22,0.35,0.32,0.36,0.26,0.38,0.29
Q59. Why would you not want Austin to host those major events? (Select up to three.),Would not benefit me,0.28,0.32,0.26,0.22,0.3,0.28,0.26,0.29,0.23,0.29
Q59. Why would you not want Austin to host those major events? (Select up to three.),Austin should pull back from the “big events” business,0.16,0.11,0.17,0.1,0.16,0.17,0.18,0.14,0.23,0.14
Q59. Why would you not want Austin to host those major events? (Select up to three.),Too corporate,0.14,0.15,0.13,0.11,0.18,0.12,0.16,0.11,0.21,0.12
Q59. Why would you not want Austin to host those major events? (Select up to three.),Too political,0.13,0.15,0.13,0.08,0.25,0.09,0.09,0.17,0.08,0.15
Q59. Why would you not want Austin to host those major events? (Select up to three.),Don't want Austin to lose its “weird” factor,0.08,0.12,0.06,0.1,0.04,0.08,0.11,0.05,0.19,0.05
Q59. Why would you not want Austin to host those major events? (Select up to three.),Other,0.02,0,0.03,0,0,0.05,0.03,0.02,0.07,0.01
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),"Festivals (e.g., South by Southwest, ACL Music Festival, Austin Chamber Music Festival, FUN FUN FUN FEST)",0.67,0.77,0.61,0.75,0.7,0.61,0.69,0.64,0.8,0.62
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),"Free Concerts (e.g., Blues on the Green, Texas Radio Live)",0.63,0.73,0.58,0.7,0.6,0.62,0.67,0.59,0.76,0.59
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),"Museums (e.g., Blanton Museum of Art, Mexic",0.6,0.62,0.59,0.64,0.53,0.63,0.62,0.58,0.65,0.58
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),"Performing Arts (e.g., Ballet Austin, ZACH Theatre)",0.57,0.65,0.52,0.58,0.51,0.6,0.61,0.52,0.64,0.54
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),"Comedy Shows (e.g., Esther's Follies, Cap City Comedy Club, Moontower Comedy Festival)",0.53,0.62,0.48,0.58,0.53,0.51,0.52,0.54,0.59,0.51
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),"Art (e.g., The East Austin Handmade Arts Market, Art City Austin, East Austin Studio Tour)",0.5,0.61,0.43,0.59,0.46,0.48,0.56,0.43,0.6,0.46
Q60. How satisfied are you with the following creative offerings in Austin? (Reporting Extremely/Very Satisfied),Creative camps/classes geared toward children,0.49,0.55,0.46,0.51,0.51,0.48,0.52,0.47,0.56,0.48
Q61. Which of the following statements best characterizes your feelings about Austin's creative culture?,The creative culture in Austin is what makes this a great city to live in,0.41,0.51,0.35,0.51,0.4,0.37,0.44,0.38,0.48,0.39
Q61. Which of the following statements best characterizes your feelings about Austin's creative culture?,The creative culture in Austin has been pushed out by a booming population and changing economy,0.26,0.23,0.28,0.15,0.23,0.32,0.31,0.21,0.35,0.23
Q61. Which of the following statements best characterizes your feelings about Austin's creative culture?,The creative culture in Austin has a minimal impact on my life,0.21,0.13,0.26,0.19,0.26,0.2,0.17,0.26,0.12,0.24
Q61. Which of the following statements best characterizes your feelings about Austin's creative culture?,I don't care about the creative culture in Austin,0.06,0.05,0.07,0.07,0.05,0.07,0.03,0.09,0.02,0.07
